market,selection,bucket_type,bucket,sample_count,hit_rate,avg_odds,roi,max_losing_streak,max_drawdown,league_distribution,season_distribution,positive_roi_bucket,phase5_reject_reason,stability_status,stability_reject_reasons,watchlist_reasons,research_only,recommendation_generated,official_written,pending_written,qq_written
OU25,over25,closing_fair_probability,0.6-0.7,1247,0.667201,1.465333,-0.023192,6,-0.0349,"{""B1"": 311, ""N1"": 361, ""P1"": 166, ""SC0"": 159, ""T1"": 250}","{""2020/21"": 227, ""2021/22"": 209, ""2022/23"": 249, ""2023/24"": 311, ""2024/25"": 251}",NO,NONE,REJECT_NON_POSITIVE_ROI,REJECT_NON_POSITIVE_ROI,NONE,YES,NO,NO,NO,NO
OU25,over25,closing_fair_probability,0.7-0.8,300,0.766667,1.288933,-0.012667,3,-0.0468,"{""B1"": 20, ""N1"": 141, ""P1"": 26, ""SC0"": 57, ""T1"": 56}","{""2020/21"": 40, ""2021/22"": 44, ""2022/23"": 72, ""2023/24"": 69, ""2024/25"": 75}",NO,SMALL_SAMPLE,REJECT_NON_POSITIVE_ROI|REJECT_SMALL_SAMPLE,REJECT_NON_POSITIVE_ROI|REJECT_SMALL_SAMPLE,NONE,YES,NO,NO,NO,NO
OU25,over25,closing_fair_probability,0.8-0.9,27,0.962963,1.144444,0.101481,1,-0.037037,"{""N1"": 22, ""P1"": 1, ""T1"": 4}","{""2020/21"": 5, ""2021/22"": 5, ""2022/23"": 3, ""2023/24"": 9, ""2024/25"": 5}",YES,SMALL_SAMPLE|CONCENTRATION_RISK,REJECT_CONCENTRATION|REJECT_SMALL_SAMPLE,REJECT_CONCENTRATION|REJECT_SMALL_SAMPLE,NONE,YES,NO,NO,NO,NO
OU25,over25,closing_fair_probability,MISSING,0,0,0,0,0,0,{},{},NO,SMALL_SAMPLE,REJECT_NON_POSITIVE_ROI|REJECT_SMALL_SAMPLE,REJECT_NON_POSITIVE_ROI|REJECT_SMALL_SAMPLE,NONE,YES,NO,NO,NO,NO
OU25,under25,closing_fair_probability,0.1-0.2,27,0.037037,5.481481,-0.814815,19,-0.814815,"{""N1"": 22, ""P1"": 1, ""T1"": 4}","{""2020/21"": 5, ""2021/22"": 5, ""2022/23"": 3, ""2023/24"": 9, ""2024/25"": 5}",NO,SMALL_SAMPLE|CONCENTRATION_RISK,REJECT_CONCENTRATION|REJECT_NON_POSITIVE_ROI|REJECT_SMALL_SAMPLE,REJECT_CONCENTRATION|REJECT_NON_POSITIVE_ROI|REJECT_SMALL_SAMPLE,NONE,YES,NO,NO,NO,NO
OU25,under25,closing_fair_probability,0.2-0.3,300,0.233333,3.659733,-0.153267,17,-0.1557,"{""B1"": 20, ""N1"": 141, ""P1"": 26, ""SC0"": 57, ""T1"": 56}","{""2020/21"": 40, ""2021/22"": 44, ""2022/23"": 72, ""2023/24"": 69, ""2024/25"": 75}",NO,SMALL_SAMPLE,REJECT_NON_POSITIVE_ROI|REJECT_SMALL_SAMPLE,REJECT_NON_POSITIVE_ROI|REJECT_SMALL_SAMPLE,NONE,YES,NO,NO,NO,NO
OU25,under25,closing_fair_probability,0.3-0.4,1247,0.332799,2.64603,-0.122478,16,-0.124427,"{""B1"": 311, ""N1"": 361, ""P1"": 166, ""SC0"": 159, ""T1"": 250}","{""2020/21"": 227, ""2021/22"": 209, ""2022/23"": 249, ""2023/24"": 311, ""2024/25"": 251}",NO,NONE,REJECT_NON_POSITIVE_ROI,REJECT_NON_POSITIVE_ROI,NONE,YES,NO,NO,NO,NO
OU25,under25,closing_fair_probability,0.4-0.5,3365,0.451412,2.108155,-0.05318,12,-0.060404,"{""B1"": 950, ""N1"": 771, ""P1"": 415, ""SC0"": 287, ""T1"": 942}","{""2020/21"": 711, ""2021/22"": 659, ""2022/23"": 653, ""2023/24"": 689, ""2024/25"": 653}",NO,NONE,REJECT_NON_POSITIVE_ROI,REJECT_NON_POSITIVE_ROI,NONE,YES,NO,NO,NO,NO
OU25,under25,closing_fair_probability,0.5-0.6,2227,0.554558,1.735577,-0.040615,8,-0.044423,"{""B1"": 259, ""N1"": 229, ""P1"": 710, ""SC0"": 467, ""T1"": 562}","{""2020/21"": 470, ""2021/22"": 489, ""2022/23"": 408, ""2023/24"": 418, ""2024/25"": 442}",NO,NONE,REJECT_NON_POSITIVE_ROI,REJECT_NON_POSITIVE_ROI,NONE,YES,NO,NO,NO,NO
OU25,under25,closing_fair_probability,0.6-0.7,401,0.643392,1.499202,-0.036135,4,-0.064788,"{""B1"": 2, ""N1"": 5, ""P1"": 211, ""SC0"": 162, ""T1"": 21}","{""2020/21"": 111, ""2021/22"": 113, ""2022/23"": 74, ""2023/24"": 36, ""2024/25"": 67}",NO,SMALL_SAMPLE,REJECT_NON_POSITIVE_ROI|REJECT_SMALL_SAMPLE,REJECT_NON_POSITIVE_ROI|REJECT_SMALL_SAMPLE,NONE,YES,NO,NO,NO,NO
OU25,under25,closing_fair_probability,0.7-0.8,9,0.555556,1.356667,-0.247778,2,-0.404444,"{""P1"": 1, ""SC0"": 8}","{""2020/21"": 1, ""2021/22"": 7, ""2024/25"": 1}",NO,SMALL_SAMPLE|CONCENTRATION_RISK,REJECT_CONCENTRATION|REJECT_NON_POSITIVE_ROI|REJECT_SMALL_SAMPLE,REJECT_CONCENTRATION|REJECT_NON_POSITIVE_ROI|REJECT_SMALL_SAMPLE,NONE,YES,NO,NO,NO,NO
OU25,under25,closing_fair_probability,MISSING,0,0,0,0,0,0,{},{},NO,SMALL_SAMPLE,REJECT_NON_POSITIVE_ROI|REJECT_SMALL_SAMPLE,REJECT_NON_POSITIVE_ROI|REJECT_SMALL_SAMPLE,NONE,YES,NO,NO,NO,NO
